,name,album,artist,releas_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
27,A Petal Drops,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,62840,1,0.852,0.0735,0.245,0.97,0.116,-18.067,0.0402,176.309,4
28,"Waiting for the Lights - From ""Tangled""/Score",Tangled,Various Artists,2010-01-01,167693,51,0.935,0.182,0.115,0.82,0.494,-16.315,0.0376,143.274,4
29,End Credits - Instrumental,The Cider House Rules (Original Score),Rachel Portman,1999-11-10,275600,43,0.96,0.141,0.0939,0.755,0.087,-19.175,0.0393,141.4,4
30,"Dawn - From ""Pride & Prejudice"" Soundtrack",Pride and Prejudice OST,Jean-Yves Thibaudet,2005-01-01,158600,56,0.991,0.332,0.0525,0.891,0.0683,-24.1,0.0388,78.853,3
31,Let's Run Away Together,The Boy Who Flew Away,Johannes Bornlöf,2016-06-16,177874,0,0.977,0.253,0.253,0.852,0.0857,-12.686,0.0341,80.248,4
32,Main Title,Chocolat (Original Motion Picture Soundtrack),Rachel Portman,2001,187466,56,0.983,0.18,0.0382,0.0141,0.15,-22.028,0.0452,69.897,3
33,I Will Not Forget You,Testament of Youth (Original Motion Picture Soundtrack),Max Richter,2015-01-16,235840,28,0.796,0.145,0.116,0.0926,0.0939,-16.652,0.0486,78.148,3
34,Wandering Jane (feat. Jack Liebeck),Jane Eyre - Original Motion Picture Soundtrack,Dario Marianelli,2011-03-08,181973,38,0.867,0.0832,0.185,0.77,0.586,-20.001,0.0445,171.718,3
35,Courage and Kindness,Cinderella (Original Motion Picture Soundtrack),Various Artists,2015-01-01,278826,40,0.923,0.147,0.0402,0.812,0.0525,-19.962,0.0387,80.332,4
36,The Dress,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,61920,33,0.176,0.155,0.222,0.432,0.134,-16.676,0.0389,134.258,4
